Category	Subcategory	Subsystem	Role	Features
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	fig|6666666.230262.peg.819
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	fig|6666666.230262.peg.1140
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	fig|6666666.230262.peg.1243
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Glutamine synthetase type I (EC 6.3.1.2)	fig|6666666.230262.peg.1890
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Rare lipoprotein A precursor	fig|6666666.230262.peg.2768
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	fig|6666666.230262.peg.3930
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	D-alanine--D-alanine ligase A (EC 6.3.2.4)	fig|6666666.230262.peg.3766
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	fig|6666666.230262.peg.2769
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	fig|6666666.230262.peg.4064
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	fig|6666666.230262.peg.4065
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	fig|6666666.230262.peg.2665
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	fig|6666666.230262.peg.824
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Rod shape-determining protein RodA	fig|6666666.230262.peg.2770
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Rod shape-determining protein RodA	fig|6666666.230262.peg.2771
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	fig|6666666.230262.peg.821
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	fig|6666666.230262.peg.825
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Penicillin-binding protein 2 (PBP-2)	fig|6666666.230262.peg.2772
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	D-alanine--D-alanine ligase (EC 6.3.2.4)	fig|6666666.230262.peg.826
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	fig|6666666.230262.peg.822
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	fig|6666666.230262.peg.2472
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	fig|6666666.230262.peg.2525
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan Biosynthesis	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	fig|6666666.230262.peg.3566
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	fig|6666666.230262.peg.1140
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	fig|6666666.230262.peg.2472
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	fig|6666666.230262.peg.2463
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	fig|6666666.230262.peg.3930
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	Phosphoglucosamine mutase (EC 5.4.2.10)	fig|6666666.230262.peg.1708
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	fig|6666666.230262.peg.2472
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.230262.peg.2702
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	fig|6666666.230262.peg.2522
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	NAD(P)HX epimerase	fig|6666666.230262.peg.3903
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.230262.peg.3904
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	NAD(P)HX dehydratase	fig|6666666.230262.peg.3903
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Sugars	Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	fig|6666666.230262.peg.622
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Sugars	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	fig|6666666.230262.peg.3858
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	fig|6666666.230262.peg.1209
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	L-alanine-DL-glutamate epimerase	fig|6666666.230262.peg.2100
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.230262.peg.1894
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.230262.peg.3905
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	AmpG permease	fig|6666666.230262.peg.3856
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	fig|6666666.230262.peg.1209
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	fig|6666666.230262.peg.825
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	fig|6666666.230262.peg.2665
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	fig|6666666.230262.peg.820
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	D-alanine--D-alanine ligase (EC 6.3.2.4)	fig|6666666.230262.peg.826
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	D-alanine--D-alanine ligase A (EC 6.3.2.4)	fig|6666666.230262.peg.3766
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	fig|6666666.230262.peg.821
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Two-component response regulator CreC	fig|6666666.230262.peg.385
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Inner membrane protein CreD	fig|6666666.230262.peg.384
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Two-component response regulator CreB	fig|6666666.230262.peg.386
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Colicin E2 tolerance protein CbrC-like protein	fig|6666666.230262.peg.981
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Folylpolyglutamate synthase (EC 6.3.2.17)	fig|6666666.230262.peg.2958
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Amidophosphoribosyltransferase (EC 2.4.2.14)	fig|6666666.230262.peg.2955
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Colicin V production protein	fig|6666666.230262.peg.2956
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Dihydrofolate synthase (EC 6.3.2.12)	fig|6666666.230262.peg.2958
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	fig|6666666.230262.peg.1709
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	DedA protein	fig|6666666.230262.peg.1207
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	DedD protein	fig|6666666.230262.peg.2957
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	tRNA pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.230262.peg.358
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	tRNA pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.230262.peg.1717
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexC-MexD-OprJ Multidrug Efflux System	Transcriptional regulator NfxB	fig|6666666.230262.peg.1108
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Multicopper oxidase	fig|6666666.230262.peg.169
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Multicopper oxidase	fig|6666666.230262.peg.3515
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Cytochrome c heme lyase subunit CcmH	fig|6666666.230262.peg.1997
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein CopC	fig|6666666.230262.peg.174
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein D	fig|6666666.230262.peg.1521
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	CopG protein	fig|6666666.230262.peg.171
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	CopG protein	fig|6666666.230262.peg.1499
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein C precursor	fig|6666666.230262.peg.1520
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Cytochrome c heme lyase subunit CcmF	fig|6666666.230262.peg.1994
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-sensing two-component system response regulator CusR	fig|6666666.230262.peg.1522
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper chaperone	fig|6666666.230262.peg.2599
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-translocating P-type ATPase (EC 3.6.3.4)	fig|6666666.230262.peg.97
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-translocating P-type ATPase (EC 3.6.3.4)	fig|6666666.230262.peg.173
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-translocating P-type ATPase (EC 3.6.3.4)	fig|6666666.230262.peg.2601
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein B	fig|6666666.230262.peg.170
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein B	fig|6666666.230262.peg.3516
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Bile hydrolysis	Choloylglycine hydrolase (EC 3.5.1.24)	fig|6666666.230262.peg.1097
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal RND efflux outer membrane protein, CzcC family	fig|6666666.230262.peg.180
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal RND efflux outer membrane protein, CzcC family	fig|6666666.230262.peg.1528
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal RND efflux outer membrane protein, CzcC family	fig|6666666.230262.peg.3361
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal RND efflux outer membrane protein, CzcC family	fig|6666666.230262.peg.3991
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	DNA-binding heavy metal response regulator	fig|6666666.230262.peg.168
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	DNA-binding heavy metal response regulator	fig|6666666.230262.peg.1342
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD	fig|6666666.230262.peg.95
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD	fig|6666666.230262.peg.394
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD	fig|6666666.230262.peg.1860
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD	fig|6666666.230262.peg.3362
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	fig|6666666.230262.peg.552
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cation efflux system protein CusA	fig|6666666.230262.peg.553
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cation efflux system protein CusA	fig|6666666.230262.peg.1526
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cation efflux system protein CusA	fig|6666666.230262.peg.3359
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cation efflux system protein CusA	fig|6666666.230262.peg.3993
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein	fig|6666666.230262.peg.2427
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein	fig|6666666.230262.peg.3710
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Copper-sensing two-component system response regulator CusR	fig|6666666.230262.peg.1522
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal sensor histidine kinase	fig|6666666.230262.peg.167
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal sensor histidine kinase	fig|6666666.230262.peg.1348
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcA	fig|6666666.230262.peg.553
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcA	fig|6666666.230262.peg.1526
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcA	fig|6666666.230262.peg.3359
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcA	fig|6666666.230262.peg.3993
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.230262.peg.379
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.230262.peg.2256
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.230262.peg.3360
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.230262.peg.3635
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.230262.peg.3992
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Transcriptional regulator, MerR family	fig|6666666.230262.peg.96
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Transcriptional regulator, MerR family	fig|6666666.230262.peg.743
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Transcriptional regulator, MerR family	fig|6666666.230262.peg.1672
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Transcriptional regulator, MerR family	fig|6666666.230262.peg.2435
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Outer membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.297
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Outer membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.1608
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Outer membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.3007
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Outer membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.4051
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Membrane fusion component of tripartite multidrug resistance system	fig|6666666.230262.peg.296
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Membrane fusion component of tripartite multidrug resistance system	fig|6666666.230262.peg.3006
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Inner membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.295
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Inner membrane component of tripartite multidrug resistance system	fig|6666666.230262.peg.3005
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercuric reductase	Mercuric ion reductase (EC 1.16.1.1)	fig|6666666.230262.peg.107
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercury resistance operon	Mercuric transport protein, MerT	fig|6666666.230262.peg.105
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercury resistance operon	Mercuric ion reductase (EC 1.16.1.1)	fig|6666666.230262.peg.107
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercury resistance operon	Periplasmic mercury(+2) binding protein	fig|6666666.230262.peg.106
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercury resistance operon	Mercuric resistance operon regulatory protein	fig|6666666.230262.peg.104
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Aminoglycoside adenylyltransferases	Aminoglycoside N6'-acetyltransferase (EC 2.3.1.82)	fig|6666666.230262.peg.1111
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	DNA gyrase subunit B (EC 5.99.1.3)	fig|6666666.230262.peg.4015
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	DNA gyrase subunit A (EC 5.99.1.3)	fig|6666666.230262.peg.968
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	Topoisomerase IV subunit B (EC 5.99.1.-)	fig|6666666.230262.peg.3790
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	Topoisomerase IV subunit A (EC 5.99.1.-)	fig|6666666.230262.peg.300
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenic resistance protein ArsH	fig|6666666.230262.peg.1916
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenic resistance protein ArsH	fig|6666666.230262.peg.3357
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenic resistance protein ArsH	fig|6666666.230262.peg.3616
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical-resistance protein ACR3	fig|6666666.230262.peg.163
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical-resistance protein ACR3	fig|6666666.230262.peg.1913
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical-resistance protein ACR3	fig|6666666.230262.peg.3613
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical resistance operon repressor	fig|6666666.230262.peg.1915
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenical resistance operon repressor	fig|6666666.230262.peg.3615
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenic efflux pump protein	fig|6666666.230262.peg.1400
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenic efflux pump protein	fig|6666666.230262.peg.3358
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.162
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.164
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.1049
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.1910
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.1914
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.1917
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.3355
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.3356
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Arsenic resistance	Arsenate reductase (EC 1.20.4.1)	fig|6666666.230262.peg.3614
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Cytoplasmic copper homeostasis protein CutC	fig|6666666.230262.peg.2603
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Periplasmic divalent cation tolerance protein CutA	fig|6666666.230262.peg.864
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Magnesium and cobalt efflux protein CorC	fig|6666666.230262.peg.5
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Magnesium and cobalt efflux protein CorC	fig|6666666.230262.peg.238
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Magnesium and cobalt efflux protein CorC	fig|6666666.230262.peg.4338
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase class C and other penicillin binding proteins	fig|6666666.230262.peg.1395
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase class C and other penicillin binding proteins	fig|6666666.230262.peg.1865
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.230262.peg.352
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.230262.peg.869
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.230262.peg.918
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.230262.peg.949
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.230262.peg.2096
