Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism	which	Category	Subcategory	Subsystem	Role
Name=FIGfam138462:_Acyl-CoA_synthetase%2C_AMP-(fatty)_acid_ligase_/_(3R)-hydroxymyristoyl-[ACP]_dehydratase_(EC_4.2.1.-)			fig|6666666.230262.peg.512	-1.034731316	6.93718022	47.67534213	5.03E-12	1.70E-10			5down	"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)
Name=3-oxoacyl-[ACP]_synthase			fig|6666666.230262.peg.517	-1.091359997	5.16790472	16.98974742	3.76E-05	0.000362597			5down	"Fatty Acids, Lipids, and Isoprenoids"	Fatty acids	Phospholipid and Fatty acid biosynthesis related cluster	3-oxoacyl-[ACP] synthase
Name=Regulatory_sensor-transducer%2C_BlaR1/MecR1_family			fig|6666666.230262.peg.670	-1.064646173	4.268190951	6.672854657	0.009789227	0.039375053			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG037995:_Hypothetical_protein			fig|6666666.230262.peg.679	-1.310057956	4.267508862	8.994049846	0.002708601	0.013885986			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Transcriptional_regulator%2C_LysR_family			fig|6666666.230262.peg.709	-1.306346906	4.65547354	11.8186648	0.000586399	0.003926245			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111801:_hypothetical_protein			fig|6666666.230262.peg.764	-1.108590276	4.453351011	9.768882616	0.001774903	0.009745094			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=ABC_transporter%2C_ATP-binding_protein	K02003		fig|6666666.230262.peg.79	-1.301045503	5.351636552	22.70106598	1.89E-06	2.64E-05	Transporters		5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111179:_hypothetical_protein			fig|6666666.230262.peg.794	-1.386150611	3.879666929	8.934934576	0.002797675	0.014291896			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111702:_hypothetical_protein			fig|6666666.230262.peg.800	-1.176399065	8.700818205	118.6414521	1.25E-27	1.75E-25			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily			fig|6666666.230262.peg.924	-1.125737935	5.728577968	18.61503936	1.60E-05	0.000167843			5down	RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine Biosynthesis	Permease of the drug/metabolite transporter (DMT) superfamily
Name=FIG01111448:_hypothetical_protein			fig|6666666.230262.peg.925	-1.730881064	7.834529366	138.4485649	5.81E-32	1.10E-29			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=TonB-dependent_receptor	K02014		fig|6666666.230262.peg.926	-1.245966354	9.234158402	124.4818977	6.61E-29	9.54E-27	Transporters		5down	Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TonB-dependent receptor
Name=conserved_hypothetical_protein-transmembrane_prediction			fig|6666666.230262.peg.961	-1.01935853	5.639680348	17.44310125	2.96E-05	0.000292125			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases			fig|6666666.230262.peg.972	-1.101360275	4.308353991	9.0631611	0.002608107	0.013491702			5down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Sugar_ABC_transporter%2C_sugar_permease_protein_1_USSDB1C	K02025		fig|6666666.230262.peg.1080	1.116967763	5.131138699	21.29275578	3.94E-06	4.99E-05	Transporters		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.1087	1.077548695	7.453110834	72.30368901	1.85E-17	1.13E-15			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.1093	1.304552292	7.494795538	109.9741798	9.93E-26	1.19E-23			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.1121	1.09208696	9.001586718	53.41414777	2.70E-13	1.06E-11			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Permeases_of_the_major_facilitator_superfamily			fig|6666666.230262.peg.1147	2.254360062	3.705842298	31.69672264	1.80E-08	3.85E-07			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111142:_hypothetical_protein			fig|6666666.230262.peg.1232	1.657361611	7.418396308	177.6738106	1.56E-40	6.76E-38			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=choline/carnitine/betaine_transporter	K05020		fig|6666666.230262.peg.1234	1.047051012	7.040339122	68.44566733	1.30E-16	6.98E-15	Transporters		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Homoserine_O-acetyltransferase_(EC_2.3.1.31)	K00641	Smlt3277	fig|6666666.230262.peg.1275	1.487809355	7.337227574	111.4340203	4.75E-26	6.06E-24	Enzymes	Amino acid metabolism	5up	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Methionine Biosynthesis	Homoserine O-acetyltransferase (EC 2.3.1.31)
Name=33_kDa_chaperonin_(Heat_shock_protein_33)_(HSP33)	K04083		fig|6666666.230262.peg.1283	1.026390248	7.752580752	78.55970558	7.76E-19	5.34E-17	Chaperones and folding catalysts 		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Translation_initiation_factor_1	K02518		fig|6666666.230262.peg.1304	1.051616107	11.4997727	61.07625649	5.49E-15	2.45E-13	Translation factors		5up	Protein Metabolism	Protein biosynthesis	Translation initiation factors bacterial	Translation initiation factor 1
Name=FIG01112660:_hypothetical_protein			fig|6666666.230262.peg.1344	1.130425309	5.848513213	39.22826093	3.77E-10	1.03E-08			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.1349	1.098653695	7.009211874	25.51325094	4.39E-07	7.02E-06			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Transcriptional_regulator%2C_TetR_family			fig|6666666.230262.peg.1356	1.250005611	7.02531343	88.20662091	5.90E-21	4.91E-19			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FMN_reductase_(EC_1.5.1.29)	K00299	Smlt2584	fig|6666666.230262.peg.1414	1.497336448	5.927208808	69.97355411	6.01E-17	3.34E-15	Enzymes	"Energy Metabolism, Metabolism of cofactors and vitamins"	5up	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonates Utilization	FMN reductase (EC 1.5.1.29)
Name=FIG01110976:_hypothetical_protein			fig|6666666.230262.peg.1415	1.421304548	6.990886929	151.0258259	1.03E-34	2.49E-32			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.1564	1.18388696	3.632525661	10.38098517	0.001273197	0.007463452			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111999:_hypothetical_protein			fig|6666666.230262.peg.1607	1.829543122	2.705454618	7.604019798	0.005823832	0.026089802			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Diacylglycerol_kinase_(EC_2.7.1.107)	K00901	Smlt2803	fig|6666666.230262.peg.1613	2.68778182	5.559963131	146.9096044	8.21E-34	1.78E-31	Enzymes	Lipid Metabolism	5up	"Fatty Acids, Lipids, and Isoprenoids"	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Diacylglycerol kinase (EC 2.7.1.107)
Name=Biphenyl-2%2C3-diol_1%2C2-dioxygenase_III_(EC_1.13.11.39)			fig|6666666.230262.peg.1660	1.260808378	5.658374081	53.29603255	2.87E-13	1.12E-11			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=LSU_ribosomal_protein_L20p	K02887	Smlt3375	fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15	Ribosome		5up	"Virulence, Disease and Defense"	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	LSU ribosomal protein L20p
Name=LSU_ribosomal_protein_L20p	K02887	Smlt3375	fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15	Ribosome		5up	Protein Metabolism	Protein biosynthesis	Ribosome LSU bacterial	LSU ribosomal protein L20p
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism	5up	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism	5up	Amino Acids and Derivatives	Aromatic amino acids and derivatives	"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more."	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=Tryptophan_synthase_beta_chain_(EC_4.2.1.20)	K01696	Smlt3419	fig|6666666.230262.peg.1712	1.224635257	7.773434756	135.2207253	2.95E-31	5.12E-29	Enzymes	Amino acid metabolism	5up	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis	Tryptophan synthase beta chain (EC 4.2.1.20)
Name=FIG01110964:_hypothetical_protein			fig|6666666.230262.peg.1783	1.461733132	7.476402369	142.3392034	8.20E-33	1.69E-30			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111997:_hypothetical_protein			fig|6666666.230262.peg.1816	1.537719017	7.465855558	93.3645312	4.35E-22	3.93E-20			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Outer_membrane_receptor_proteins%2C_mostly_Fe_transport	K02014		fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17	Transporters		5up	Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	"Heme, hemin uptake and utilization systems in GramNegatives"	"Outer membrane receptor proteins, mostly Fe transport"
Name=Outer_membrane_receptor_proteins%2C_mostly_Fe_transport	K02014		fig|6666666.230262.peg.1818	1.140495908	7.587825019	78.98233371	6.27E-19	4.45E-17	Transporters		5up	Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	"Outer membrane receptor proteins, mostly Fe transport"
Name=hypothetical_protein			fig|6666666.230262.peg.1822	1.17474707	3.854907589	11.49011116	0.000699675	0.004510402			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01113101:_hypothetical_protein			fig|6666666.230262.peg.1849	1.05877455	5.535051472	29.07861268	6.95E-08	1.30E-06			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.2005	1.790961192	3.128550376	14.31777417	0.0001544	0.001276779			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111915:_hypothetical_protein			fig|6666666.230262.peg.2021	1.70578149	7.697815899	134.2516369	4.81E-31	8.02E-29			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112383:_hypothetical_protein			fig|6666666.230262.peg.2080	1.169947957	7.820361402	100.4120293	1.24E-23	1.31E-21			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=SSU_ribosomal_protein_S21p	K02970	Smlt0444	fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16	Ribosome		5up	Protein Metabolism	Protein biosynthesis	Ribosome SSU bacterial	SSU ribosomal protein S21p
Name=SSU_ribosomal_protein_S21p	K02970	Smlt0444	fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16	Ribosome		5up	Cell Division and Cell Cycle	Cell Division and Cell Cycle - no subcategory	Macromolecular synthesis operon	SSU ribosomal protein S21p
Name=INTEGRAL_MEMBRANE_PROTEIN_(Rhomboid_family)			fig|6666666.230262.peg.2210	1.738079167	4.889362293	49.4655833	2.02E-12	7.11E-11			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.2320	1.002412436	3.66065795	7.616909661	0.005782349	0.025940441			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111283:_hypothetical_protein			fig|6666666.230262.peg.2378	1.047381124	5.487721228	29.33445963	6.09E-08	1.16E-06			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112849:_hypothetical_protein			fig|6666666.230262.peg.2379	1.679309695	2.911161587	8.052851237	0.00454321	0.021439198			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Alkyl_hydroperoxide_reductase_protein_F_(EC_1.6.4.-)			fig|6666666.230262.peg.2556	1.480667576	8.884030418	265.7401883	9.62E-60	6.95E-57			5up	Sulfur Metabolism	Sulfur Metabolism - no subcategory	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)
Name=Alkyl_hydroperoxide_reductase_protein_C_(EC_1.6.4.-)	K03387		fig|6666666.230262.peg.2557	1.957918626	11.31097897	465.0068639	3.91E-103	5.65E-100	Enzymes		5up	Sulfur Metabolism	Sulfur Metabolism - no subcategory	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)
Name=hypothetical_protein			fig|6666666.230262.peg.2575	1.42971673	3.142803344	7.765688849	0.005324799	0.024386176			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG024006:_iron_uptake_protein			fig|6666666.230262.peg.260	1.176300929	3.944439185	11.02879436	0.000897075	0.00556072			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Pirin	K06911		fig|6666666.230262.peg.2705	1.092139091	3.909199207	9.361866988	0.002215464	0.01174711	Uncharacterized		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Carbon_storage_regulator	K03563	Smlt1744	fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11	Messenger RNA biogenesis		5up	Stress Response	Stress Response - no subcategory	Carbon Starvation	Carbon storage regulator
Name=Carbon_storage_regulator	K03563	Smlt1744	fig|6666666.230262.peg.2725	1.023858409	10.04164767	50.3620028	1.28E-12	4.62E-11	Messenger RNA biogenesis		5up	Carbohydrates	Carbohydrates - no subcategory	Carbon storage regulator	Carbon storage regulator
Name=SOS-response_repressor_and_protease_LexA_(EC_3.4.21.88)	K01356		fig|6666666.230262.peg.2729	1.107010168	7.794672953	110.7934903	6.57E-26	8.13E-24	Enzymes		5up	DNA Metabolism	DNA repair	"DNA repair, bacterial"	SOS-response repressor and protease LexA (EC 3.4.21.88)
Name=FIG01111603:_hypothetical_protein			fig|6666666.230262.peg.2851	1.275788784	6.468374824	69.08325512	9.44E-17	5.11E-15			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112657:_hypothetical_protein			fig|6666666.230262.peg.2852	1.349672732	8.815339642	162.8241709	2.73E-37	8.46E-35			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Quaternary_ammonium_compound-resistance_protein_SugE	K11741		fig|6666666.230262.peg.2913	1.27489509	7.428094213	115.5138578	6.07E-27	7.97E-25	Transporters		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Inner_membrane_component_of_tripartite_multidrug_resistance_system	K03446		fig|6666666.230262.peg.295	1.529420233	7.288530559	133.8219092	5.98E-31	9.25E-29	Transporters		5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Inner membrane component of tripartite multidrug resistance system
Name=Membrane_fusion_component_of_tripartite_multidrug_resistance_system	K03543		fig|6666666.230262.peg.296	1.450379595	5.749397341	72.58606842	1.60E-17	9.90E-16	Transporters		5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Membrane fusion component of tripartite multidrug resistance system
Name=Outer_membrane_component_of_tripartite_multidrug_resistance_system			fig|6666666.230262.peg.297	1.276455598	5.036914775	33.75265341	6.26E-09	1.46E-07			5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	"Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria"	Outer membrane component of tripartite multidrug resistance system
Name=Transcriptional_regulator%2C_MarR_family			fig|6666666.230262.peg.298	2.619304413	6.490789357	232.6896459	1.54E-52	9.56E-50			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Transcriptional_regulator%2C_AraC_family			fig|6666666.230262.peg.299	1.803993979	8.523583006	291.5659441	2.27E-65	2.45E-62			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Type_I_secretion_system%2C_outer_membrane_component_LapE			fig|6666666.230262.peg.3084	1.154779219	6.308678869	43.15109791	5.07E-11	1.55E-09			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111427:_hypothetical_protein			fig|6666666.230262.peg.3191	1.346717564	6.062592069	63.32824744	1.75E-15	8.24E-14			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Phosphoglycerol_transferase_I_(EC_2.7.8.20)	K01002		fig|6666666.230262.peg.3284	1.31705873	7.442157957	126.5439239	2.34E-29	3.49E-27	Enzymes		5up	Stress Response	Osmotic stress	Synthesis of osmoregulated periplasmic glucans	Phosphoglycerol transferase I (EC 2.7.8.20)
Name=Thermostable_8-oxoguanine_DNA_glycosylase			fig|6666666.230262.peg.3316	1.508898822	10.2771314	269.8610112	1.22E-60	1.05E-57			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Phage_integrase			fig|6666666.230262.peg.3364	1.043376455	10.89893561	96.59528679	8.51E-23	8.40E-21			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.3397	2.401699175	2.574024931	13.1593173	0.000286093	0.002147929			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Galactosamine-6-phosphate_isomerase_(EC_5.3.1.-)	K02082		fig|6666666.230262.peg.3404	1.824511518	4.992133025	37.78311052	7.91E-10	2.10E-08	Enzymes		5up	Carbohydrates	Aminosugars	N-Acetyl-Galactosamine and Galactosamine Utilization	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)
Name=chloride_channel			fig|6666666.230262.peg.3418	1.773109725	5.102608663	67.51257401	2.09E-16	1.08E-14			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=RND_efflux_system%2C_outer_membrane_lipoprotein_CmeC	K18323	Smlt4474	fig|6666666.230262.peg.3428	1.03929657	6.227264808	47.6124149	5.19E-12	1.74E-10	Transporters		5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, outer membrane lipoprotein CmeC"
Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB	K18322	Smlt4475	fig|6666666.230262.peg.3429	1.733445198	6.872084746	167.863342	2.17E-38	8.53E-36	Transporters		5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	"RND efflux system, inner membrane transporter CmeB"
Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump	K18321	Smlt4476	fig|6666666.230262.peg.3430	1.769409984	4.133022449	38.59361437	5.22E-10	1.41E-08	Transporters		5up	"Virulence, Disease and Defense"	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Membrane fusion protein of RND family multidrug efflux pump
Name=Sensory_histidine_kinase_BaeS	K07642	Smlt4477	fig|6666666.230262.peg.3431	1.44232868	6.460981139	85.06749404	2.88E-20	2.23E-18	Enzymes		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Response_regulator_BaeR	K07664	Smlt4478	fig|6666666.230262.peg.3432	1.342988861	2.887960907	7.242124868	0.007121265	0.030574154	Enzymes		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Interferon-induced_transmembrane_protein			fig|6666666.230262.peg.3627	1.105646989	6.530508431	54.21365753	1.80E-13	7.21E-12			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Sulfate_permease			fig|6666666.230262.peg.3709	1.473259998	4.756103533	27.98751082	1.22E-07	2.17E-06			5up	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Cysteine Biosynthesis	Sulfate permease
Name=FIG01217340:_hypothetical_protein			fig|6666666.230262.peg.374	1.043664122	10.64315294	96.5889822	8.53E-23	8.40E-21			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112121:_hypothetical_protein			fig|6666666.230262.peg.3890	1.096817736	6.548467513	54.55114061	1.51E-13	6.19E-12			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111128:_hypothetical_protein			fig|6666666.230262.peg.3914	1.733337889	6.323516541	140.1252608	2.50E-32	4.92E-30			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Radical_SAM_domain_protein			fig|6666666.230262.peg.4003	1.058234423	9.790839601	136.1951732	1.81E-31	3.26E-29			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=DNA_primase/helicase%2C_phage-associated			fig|6666666.230262.peg.4155	1.11465693	5.194021305	24.00196994	9.62E-07	1.42E-05			5up	"Phages, Prophages, Transposable elements, Plasmids"	"Phages, Prophages"	Phage replication	"DNA primase/helicase, phage-associated"
Name=Sigma-fimbriae_tip_adhesin			fig|6666666.230262.peg.4163	1.51563	5.196247129	52.84754939	3.60E-13	1.38E-11			5up	Membrane Transport	"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)"	sigma-Fimbriae	Sigma-fimbriae tip adhesin
Name=Sigma-fimbriae_chaperone_protein			fig|6666666.230262.peg.4164	2.447838722	2.449433319	15.4311043	8.56E-05	0.000761153			5up	Membrane Transport	"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)"	sigma-Fimbriae	Sigma-fimbriae chaperone protein
Name=hypothetical_protein			fig|6666666.230262.peg.4200	1.343866095	3.08428467	7.03507598	0.007992848	0.033681925			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4207	1.278505563	8.035288072	133.9826687	5.51E-31	8.84E-29			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4208	2.268521898	8.638810701	535.944788	1.44E-118	3.11E-115			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4209	1.347734518	6.568275584	71.72640336	2.47E-17	1.46E-15			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4210	1.224413523	4.615813853	10.2624322	0.001357666	0.007905118			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112189:_hypothetical_protein			fig|6666666.230262.peg.4282	1.156680472	3.348331971	6.603168922	0.010179743	0.040617175			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Transporter%2C_LysE_family	K06895		fig|6666666.230262.peg.4308	3.389768653	6.825868292	556.4984685	4.86E-123	2.10E-119	Transporters		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Predicted_maltose_transporter_MalT	K16211		fig|6666666.230262.peg.4374	1.024711541	4.900867139	14.01016468	0.000181825	0.001469526	Transporters		5up	Carbohydrates	Di- and oligosaccharides	Maltose and Maltodextrin Utilization	Predicted maltose transporter MalT
Name=DNA_repair_protein_RadA	K04485		fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17	DNA repair and recombination proteins		5up	Protein Metabolism	Protein degradation	"Proteolysis in bacteria, ATP-dependent"	DNA repair protein RadA
Name=DNA_repair_protein_RadA	K04485		fig|6666666.230262.peg.455	1.032072506	7.862144322	78.70550368	7.21E-19	5.04E-17	DNA repair and recombination proteins		5up	DNA Metabolism	DNA repair	"DNA repair, bacterial"	DNA repair protein RadA
Name=putative_Cytochrome_bd2%2C_subunit_II	K00426	Smlt3283	fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343	Enzymes	Energy Metabolism	5up	Respiration	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	"putative Cytochrome bd2, subunit II"
Name=putative_Cytochrome_bd2%2C_subunit_II	K00426	Smlt3283	fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343	Enzymes	Energy Metabolism	5up	Respiration	Electron accepting reactions	Terminal cytochrome oxidases	"putative Cytochrome bd2, subunit II"
Name=putative_Cytochrome_bd2%2C_subunit_I	K00425	Smlt3282	fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23	Enzymes	Energy Metabolism	5up	Respiration	Electron accepting reactions	Terminal cytochrome d ubiquinol oxidases	"putative Cytochrome bd2, subunit I"
Name=putative_Cytochrome_bd2%2C_subunit_I	K00425	Smlt3282	fig|6666666.230262.peg.520	1.561336223	6.793134769	109.8048213	1.08E-25	1.27E-23	Enzymes	Energy Metabolism	5up	Respiration	Electron accepting reactions	Terminal cytochrome oxidases	"putative Cytochrome bd2, subunit I"
Name=FIG01111166:_hypothetical_protein			fig|6666666.230262.peg.555	1.52044453	6.946153003	154.1123617	2.19E-35	5.58E-33			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=dTDP-glucose_4%2C6-dehydratase_(EC_4.2.1.46)	K08679	Smlt4612	fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20	Enzymes	Carbohydrate metabolism	5up	Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Name=dTDP-glucose_4%2C6-dehydratase_(EC_4.2.1.46)	K08679	Smlt4612	fig|6666666.230262.peg.557	1.229769345	7.117021914	94.19439438	2.86E-22	2.69E-20	Enzymes	Carbohydrate metabolism	5up	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Name=Inner_membrane_protein	K03760	Smlt3571	fig|6666666.230262.peg.593	1.830119368	6.976692692	167.3379284	2.82E-38	1.02E-35	Enzymes		5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01110967:_hypothetical_protein			fig|6666666.230262.peg.594	1.477931769	6.583738573	115.7837981	5.30E-27	7.18E-25			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01112209:_hypothetical_protein			fig|6666666.230262.peg.595	1.06951363	6.821721188	68.05275019	1.59E-16	8.41E-15			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
