fig|6666666.230262.peg.1	Name=GCN5-related_N-acetyltransferase
fig|6666666.230262.peg.776	Name=Nicotinate_phosphoribosyltransferase_(EC_2.4.2.11)
fig|6666666.230262.peg.777	Name=FIG01111929:_hypothetical_protein
fig|6666666.230262.peg.778	Name=Fimbrial_protein_precursor
fig|6666666.230262.peg.779	Name=P_pilus_assembly_protein%2C_chaperone_PapD
fig|6666666.230262.peg.780	Name=outer_membrane_usher_protein_precursor
fig|6666666.230262.peg.781	Name=Fimbrial_adhesin
fig|6666666.230262.peg.782	Name=UDP-N-acetylglucosamine_2-epimerase_(EC_5.1.3.14)
fig|6666666.230262.peg.783	Name=FIG01111221:_hypothetical_protein
fig|6666666.230262.peg.784	Name=FIG01111221:_hypothetical_protein
fig|6666666.230262.peg.785	Name=Bacteriophage_N4_adsorption_protein_B
fig|6666666.230262.peg.786	Name=Bacteriophage_N4_adsorption_protein_A
fig|6666666.230262.peg.787	Name=FIG01111252:_hypothetical_protein
fig|6666666.230262.peg.788	Name=hypothetical_protein
fig|6666666.230262.peg.789	Name=Xanthine/uracil/thiamine/ascorbate_permease_family_protein
fig|6666666.230262.peg.790	Name=ABC_transporter%2C_ATP-binding_protein
fig|6666666.230262.peg.791	Name=FIG01209995:_hypothetical_protein
fig|6666666.230262.peg.792	Name=Serine_hydroxymethyltransferase_(EC_2.1.2.1)
fig|6666666.230262.peg.793	Name=FIG01111179:_hypothetical_protein
fig|6666666.230262.peg.794	Name=FIG01111179:_hypothetical_protein
fig|6666666.230262.peg.795	Name=FIG01111405:_hypothetical_protein
fig|6666666.230262.peg.796	Name=Ribonucleotide_reductase_transcriptional_regulator_NrdR
fig|6666666.230262.peg.797	Name=Diaminohydroxyphosphoribosylaminopyrimidine_deaminase_(EC_3.5.4.26)_/_5-amino-6-(5-phosphoribosylamino)uracil_reductase_(EC_1.1.1.193)
fig|6666666.230262.peg.798	Name=hypothetical_protein
fig|6666666.230262.peg.799	Name=FIG01112071:_hypothetical_protein
fig|6666666.230262.peg.800	Name=FIG01111702:_hypothetical_protein
fig|6666666.230262.peg.801	Name=Riboflavin_synthase_eubacterial/eukaryotic_(EC_2.5.1.9)
fig|6666666.230262.peg.802	Name=3%2C4-dihydroxy-2-butanone_4-phosphate_synthase_(EC_4.1.99.12)_/_GTP_cyclohydrolase_II_(EC_3.5.4.25)
fig|6666666.230262.peg.803	Name=6%2C7-dimethyl-8-ribityllumazine_synthase_(EC_2.5.1.78)
fig|6666666.230262.peg.804	Name=Transcription_termination_protein_NusB
fig|6666666.230262.peg.805	Name=Thiamine-monophosphate_kinase_(EC_2.7.4.16)
fig|6666666.230262.peg.806	Name=FIG01111034:_hypothetical_protein
fig|6666666.230262.peg.807	Name=O-antigen_acetylase
fig|6666666.230262.peg.808	Name=D-2-hydroxyglutarate_dehydrogenase
fig|6666666.230262.peg.809	Name=Putative_membrane-bound_metal-dependent_hydrolases
fig|6666666.230262.peg.810	Name=Predicted_endonuclease_distantly_related_to_archaeal_Holliday_junction_resolvase
fig|6666666.230262.peg.811	Name=LppC_putative_lipoprotein
fig|6666666.230262.peg.812	Name=rRNA_small_subunit_methyltransferase_I
fig|6666666.230262.peg.813	Name=Phenylalanyl-tRNA_synthetase_beta_subunit
fig|6666666.230262.peg.814	Name=hypothetical_protein
fig|6666666.230262.peg.815	Name=COG3332
fig|6666666.230262.peg.816	Name=Cell_division_protein_MraZ
fig|6666666.230262.peg.817	Name=rRNA_small_subunit_methyltransferase_H
fig|6666666.230262.peg.818	Name=Cell_division_protein_FtsL
fig|6666666.230262.peg.819	Name=Cell_division_protein_FtsI_[Peptidoglycan_synthetase]_(EC_2.4.1.129)
fig|6666666.230262.peg.820	Name=UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6-diaminopimelate_ligase_(EC_6.3.2.13)
fig|6666666.230262.peg.821	Name=UDP-N-acetylmuramoylalanyl-D-glutamyl-2%2C6-diaminopimelate--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)
fig|6666666.230262.peg.822	Name=Phospho-N-acetylmuramoyl-pentapeptide-transferase_(EC_2.7.8.13)
fig|6666666.230262.peg.823	Name=Cell_division_protein_FtsW
fig|6666666.230262.peg.824	Name=UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase_(EC_2.4.1.227)
fig|6666666.230262.peg.825	Name=UDP-N-acetylmuramate--alanine_ligase_(EC_6.3.2.8)
fig|6666666.230262.peg.826	Name=D-alanine--D-alanine_ligase_(EC_6.3.2.4)
fig|6666666.230262.peg.827	Name=Cell_division_protein_FtsQ
fig|6666666.230262.peg.828	Name=Cell_division_protein_FtsA
fig|6666666.230262.peg.829	Name=hypothetical_protein
fig|6666666.230262.peg.830	Name=Cell_division_protein_FtsZ_(EC_3.4.24.-)
fig|6666666.230262.peg.831	Name=UDP-3-O-[3-hydroxymyristoyl]_N-acetylglucosamine_deacetylase_(EC_3.5.1.108)
fig|6666666.230262.peg.832	Name=Peptidase
fig|6666666.230262.peg.833	Name=Protein_export_cytoplasm_protein_SecA_ATPase_RNA_helicase_(TC_3.A.5.1.1)
fig|6666666.230262.peg.834	Name=Mutator_mutT_protein_(7%2C8-dihydro-8-oxoguanine-triphosphatase)_(EC_3.6.1.-)_/_Thiamin-phosphate_pyrophosphorylase-like_protein
fig|6666666.230262.peg.835	Name=FIG01112958:_hypothetical_protein
fig|6666666.230262.peg.836	Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)
fig|6666666.230262.peg.837	Name=hydrolase%2C_alpha/beta_hydrolase_fold_family
fig|6666666.230262.peg.838	Name=Autolysin_sensor_kinase_(EC_2.7.3.-)
fig|6666666.230262.peg.839	Name=Two-component_response_regulator
fig|6666666.230262.peg.840	Name=FIG01111900:_hypothetical_protein
fig|6666666.230262.peg.841	Name=FIG01111237:_hypothetical_protein
fig|6666666.230262.peg.842	Name=FIG01112631:_hypothetical_protein
fig|6666666.230262.peg.843	Name=Cys-tRNA(Pro)_deacylase_YbaK
fig|6666666.230262.peg.844	Name=Adenosylhomocysteinase_(EC_3.3.1.1)
fig|6666666.230262.peg.845	Name=hypothetical_protein
fig|6666666.230262.peg.846	Name=hypothetical_protein
fig|6666666.230262.peg.847	Name=Dipeptidyl_aminopeptidases/acylaminoacyl-peptidases
fig|6666666.230262.peg.848	Name=Phosphoenolpyruvate_carboxylase_(EC_4.1.1.31)
fig|6666666.230262.peg.849	Name=cytosolic_long-chain_acyl-CoA_thioester_hydrolase_family_protein
fig|6666666.230262.peg.850	Name=S-adenosylmethionine_synthetase_(EC_2.5.1.6)
fig|6666666.230262.peg.851	Name=hypothetical_protein
fig|6666666.230262.peg.852	Name=Putative_hemolysin
fig|6666666.230262.peg.853	Name=Ser/Thr_protein_phosphatase_family_protein%2C_UDP-2%2C3-diacylglucosamine_hydrolase_(EC_3.6.1.-)_homolog
fig|6666666.230262.peg.854	Name=FIG01210543:_hypothetical_protein
fig|6666666.230262.peg.855	Name=Glycosyl_transferase%2C_group_2_family_protein
fig|6666666.230262.peg.856	Name=FIG01111793:_hypothetical_protein
fig|6666666.230262.peg.857	Name=Methyltransferase_(EC_2.1.1.-)
fig|6666666.230262.peg.858	Name=tRNA_dihydrouridine_synthase_B_(EC_1.-.-.-)
fig|6666666.230262.peg.859	Name=FIG01112029:_hypothetical_protein
fig|6666666.230262.peg.860	Name=Transcriptional_regulator%2C_LysR_family
fig|6666666.230262.peg.861	Name=L-Proline/Glycine_betaine_transporter_ProP
fig|6666666.230262.peg.862	Name=Cytochrome_c-type_biogenesis_protein_ResA
fig|6666666.230262.peg.863	Name=Cytochrome_c-type_biogenesis_protein_DsbD%2C_protein-disulfide_reductase_(EC_1.8.1.8)
fig|6666666.230262.peg.864	Name=Periplasmic_divalent_cation_tolerance_protein_CutA
fig|6666666.230262.peg.865	Name=Extracellular_ribonuclease_precursor_(EC_3.1.-.-)
fig|6666666.230262.peg.866	Name=Heat_shock_protein_60_family_co-chaperone_GroES
fig|6666666.230262.peg.867	Name=Heat_shock_protein_60_family_chaperone_GroEL
fig|6666666.230262.peg.868	Name=FIG01111930:_hypothetical_protein
fig|6666666.230262.peg.869	Name=Beta-lactamase_(EC_3.5.2.6)
fig|6666666.230262.peg.870	Name=FIG01111064:_hypothetical_protein
fig|6666666.230262.peg.871	Name=DNA-binding_response_regulator
fig|6666666.230262.peg.872	Name=FIG01110977:_hypothetical_protein
fig|6666666.230262.peg.873	Name=Transcriptional_regulator%2C_MarR_family
fig|6666666.230262.peg.874	Name=FIG01112249:_hypothetical_protein
fig|6666666.230262.peg.875	Name=FIG01111074:_hypothetical_protein
fig|6666666.230262.peg.876	Name=FIG01112296:_hypothetical_protein
fig|6666666.230262.peg.877	Name=2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate_synthase_I_alpha_(EC_2.5.1.54)
fig|6666666.230262.peg.878	Name=Putative_inner_membrane_protein
fig|6666666.230262.peg.879	Name=COG2827:_putative_endonuclease_containing_a_URI_domain
fig|6666666.230262.peg.880	Name=conserved_hypothetical_protein
fig|6666666.230262.peg.881	Name=FIG01111154:_hypothetical_protein
fig|6666666.230262.peg.882	Name=NADH_dehydrogenase_(EC_1.6.99.3)
fig|6666666.230262.peg.883	Name=FIG01112376:_hypothetical_protein
fig|6666666.230262.peg.884	Name=Uncharacterized_glutathione_S-transferase-like_protein
fig|6666666.230262.peg.885	Name=Helicase_PriA_essential_for_oriC/DnaA-independent_DNA_replication
fig|6666666.230262.peg.886	Name=FIG01112736:_hypothetical_protein
fig|6666666.230262.peg.887	Name=FIG01111596:_hypothetical_protein
fig|6666666.230262.peg.888	Name=hypothetical_protein
fig|6666666.230262.peg.889	Name=Multidrug_and_toxin_extrusion_(MATE)_family_efflux_pump_YdhE/NorM
fig|6666666.230262.peg.890	Name=protease_IV
fig|6666666.230262.peg.891	Name=FIG01112086:_hypothetical_protein
fig|6666666.230262.peg.892	Name=Short-chain_dehydrogenase/reductase_SDR
fig|6666666.230262.peg.893	Name=FIG01111846:_hypothetical_protein
fig|6666666.230262.peg.894	Name=FIG01112566:_hypothetical_protein
fig|6666666.230262.peg.895	Name=TsaC_protein_(YrdC_domain)_required_for_threonylcarbamoyladenosine_t(6)A37_modification_in_tRNA
fig|6666666.230262.peg.896	Name=DNA_topoisomerase_I_(EC_5.99.1.2)
fig|6666666.230262.peg.897	Name=FIG01112892:_hypothetical_protein
fig|6666666.230262.peg.898	Name=fimbrial_protein
fig|6666666.230262.peg.899	Name=Protein_of_unknown_function_Smg
fig|6666666.230262.peg.900	Name=Rossmann_fold_nucleotide-binding_protein_Smf_possibly_involved_in_DNA_uptake
fig|6666666.230262.peg.901	Name=Uncharacterized_protein_with_LysM_domain%2C_COG1652
fig|6666666.230262.peg.902	Name=Peptide_deformylase_(EC_3.5.1.88)
fig|6666666.230262.peg.903	Name=Methionyl-tRNA_formyltransferase_(EC_2.1.2.9)
fig|6666666.230262.peg.904	Name=16S_rRNA_(cytosine(967)-C(5))-methyltransferase_(EC_2.1.1.176)
fig|6666666.230262.peg.905	Name=Polymyxin_resistance_protein_ArnT%2C_undecaprenyl_phosphate-alpha-L-Ara4N_transferase%3B_Melittin_resistance_protein_PqaB
fig|6666666.230262.peg.906	Name=Lipid_A_core_-_O-antigen_ligase_and_related_enzymes
fig|6666666.230262.peg.907	Name=FIG01112584:_hypothetical_protein
fig|6666666.230262.peg.908	Name=Lipopolysaccharide_core_biosynthesis_glycosyl_transferase
fig|6666666.230262.peg.909	Name=Putative_glycerophosphate_(or_ribitol_phosphate)_transferase_relatede_to_lipopolysaccharide_core_biosynthesis
fig|6666666.230262.peg.910	Name=transmembrane_protein%2C_distant_homology_with_ydbS
fig|6666666.230262.peg.911	Name=FIG01112130:_hypothetical_protein
fig|6666666.230262.peg.912	Name=3%2C4-dihydroxy-2-butanone_4-phosphate_synthase_(EC_4.1.99.12)_/_GTP_cyclohydrolase_II_(EC_3.5.4.25)
fig|6666666.230262.peg.913	Name=Lipid_A_biosynthesis_lauroyl_acyltransferase_(EC_2.3.1.-)
fig|6666666.230262.peg.914	Name=D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.6.1.n1)
fig|6666666.230262.peg.915	Name=RNA_polymerase_sigma_factor_RpoD
fig|6666666.230262.peg.916	Name=hypothetical_protein
fig|6666666.230262.peg.917	Name=FIG01112907:_hypothetical_protein
fig|6666666.230262.peg.918	Name=Beta-lactamase_(EC_3.5.2.6)
fig|6666666.230262.peg.919	Name=Inner_membrane_protein_YqjF
fig|6666666.230262.peg.920	Name=HigA_protein_(antitoxin_to_HigB)
fig|6666666.230262.peg.921	Name=FIG01112641:_hypothetical_protein
fig|6666666.230262.peg.922	Name=Glutathione_S-transferase_(EC_2.5.1.18)
fig|6666666.230262.peg.923	Name=Transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.924	Name=Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily
fig|6666666.230262.peg.925	Name=FIG01111448:_hypothetical_protein
fig|6666666.230262.peg.926	Name=TonB-dependent_receptor
fig|6666666.230262.peg.927	Name=hypothetical_protein
fig|6666666.230262.peg.928	Name=FIG01210133:_hypothetical_protein
fig|6666666.230262.peg.929	Name=hypothetical_protein
fig|6666666.230262.peg.930	Name=wall_associated_protein
fig|6666666.230262.peg.931	Name=FIG01111736:_hypothetical_protein
fig|6666666.230262.peg.932	Name=FIG01111417:_hypothetical_protein
fig|6666666.230262.peg.933	Name=Lactoylglutathione_lyase_(EC_4.4.1.5)
fig|6666666.230262.peg.934	Name=Transcriptional_regulator%2C_TetR_family
fig|6666666.230262.peg.935	Name=Permeases_of_the_major_facilitator_superfamily
fig|6666666.230262.peg.936	Name=Pyridoxamine_5'-phosphate_oxidase_(EC_1.4.3.5)
fig|6666666.230262.peg.937	Name=peptidase_S41
fig|6666666.230262.peg.938	Name=UDP-glucose_4-epimerase_(EC_5.1.3.2)
fig|6666666.230262.peg.939	Name=Methyl-accepting_chemotaxis_protein_I_(serine_chemoreceptor_protein)
fig|6666666.230262.peg.940	Name=FIG01112898:_hypothetical_protein
fig|6666666.230262.peg.941	Name=hypothetical_protein
fig|6666666.230262.peg.942	Name=TonB-dependent_receptor%3B_Outer_membrane_receptor_for_ferrienterochelin_and_colicins
fig|6666666.230262.peg.943	Name=TonB-dependent_receptor%3B_Outer_membrane_receptor_for_ferrienterochelin_and_colicins
fig|6666666.230262.peg.944	Name=hypothetical_protein
fig|6666666.230262.peg.945	Name=Glucans_biosynthesis_glucosyltransferase_H_(EC_2.4.1.-)
fig|6666666.230262.peg.946	Name=phospholipase/carboxylesterase_family_protein
fig|6666666.230262.peg.947	Name=Autolysis_histidine_kinase_LytS
fig|6666666.230262.peg.948	Name=Autolysis_response_regulater_LytR
fig|6666666.230262.peg.949	Name=Beta-lactamase_(EC_3.5.2.6)
fig|6666666.230262.peg.950	Name=TonB-dependent_receptor
fig|6666666.230262.peg.951	Name=FIG01111744:_hypothetical_protein
fig|6666666.230262.peg.952	Name=hypothetical_protein
fig|6666666.230262.peg.953	Name=hypothetical_protein
fig|6666666.230262.peg.954	Name=hypothetical_protein
fig|6666666.230262.peg.955	Name=Transcriptional_regulator%2C_TetR_family
fig|6666666.230262.peg.956	Name=Mesenchymal_stem_cell_protein_DSCD75
fig|6666666.230262.peg.957	Name=Agmatine_deiminase_(EC_3.5.3.12)
fig|6666666.230262.peg.958	Name=Glycine_cleavage_system_transcriptional_activator
fig|6666666.230262.peg.959	Name=lipolytic_enzyme%2C_G-D-S-L
fig|6666666.230262.peg.960	Name=Membrane-bound_lytic_murein_transglycosylase
fig|6666666.230262.peg.961	Name=conserved_hypothetical_protein-transmembrane_prediction
fig|6666666.230262.peg.962	Name=FIG01111035:_hypothetical_protein
fig|6666666.230262.peg.963	Name=Dipeptidyl_aminopeptidases/acylaminoacyl-peptidases
fig|6666666.230262.peg.964	Name=FIG01112421:_hypothetical_protein
fig|6666666.230262.peg.965	Name=FIG01112452:_hypothetical_protein
fig|6666666.230262.peg.966	Name=FIG01110949:_hypothetical_protein
fig|6666666.230262.peg.967	Name=Broad-specificity_glycerol_dehydrogenase_(EC_1.1.99.22)%2C_subunit_SldB_/_Broad-specificity_glycerol_dehydrogenase_(EC_1.1.99.22)%2C_subunit_SldA
fig|6666666.230262.peg.968	Name=DNA_gyrase_subunit_A_(EC_5.99.1.3)
fig|6666666.230262.peg.969	Name=Methylthioribose-1-phosphate_isomerase_(EC_5.3.1.23)
fig|6666666.230262.peg.970	Name=FIG01112053:_hypothetical_protein
fig|6666666.230262.peg.971	Name=Translation_elongation_factor_P_Lys34:lysine_transferase
fig|6666666.230262.peg.972	Name=Histone_acetyltransferase_HPA2_and_related_acetyltransferases
fig|6666666.230262.peg.973	Name=DNA_ligase_(EC_6.5.1.2)
fig|6666666.230262.peg.974	Name=hypothetical_protein
fig|6666666.230262.peg.975	Name=Periplasmic_aromatic_amino_acid_aminotransferase_beta_precursor_(EC_2.6.1.57)
fig|6666666.230262.peg.976	Name=Cell_division_protein_ZipA
fig|6666666.230262.peg.977	Name=Chromosome_partition_protein_smc
fig|6666666.230262.peg.978	Name=LSU_ribosomal_protein_L9p
fig|6666666.230262.peg.979	Name=SSU_ribosomal_protein_S18p_@_SSU_ribosomal_protein_S18p%2C_zinc-independent
fig|6666666.230262.peg.980	Name=SSU_ribosomal_protein_S6p
fig|6666666.230262.peg.981	Name=Colicin_E2_tolerance_protein_CbrC-like_protein
fig|6666666.230262.peg.982	Name=Iron_binding_protein_SufA_for_iron-sulfur_cluster_assembly
fig|6666666.230262.peg.983	Name=Asparaginyl-tRNA_synthetase_(EC_6.1.1.22)
fig|6666666.230262.peg.984	Name=FIG01112349:_hypothetical_protein
fig|6666666.230262.peg.985	Name=FIG01113183:_hypothetical_protein
fig|6666666.230262.peg.986	Name=transcriptional_regulator_protein_Pai2
fig|6666666.230262.peg.987	Name=Carbonic_anhydrase_(EC_4.2.1.1)
fig|6666666.230262.peg.988	Name=3-hydroxyanthranilate_3%2C4-dioxygenase_(EC_1.13.11.6)
fig|6666666.230262.peg.989	Name=Kynureninase_(EC_3.7.1.3)
fig|6666666.230262.peg.990	Name=Kynurenine_3-monooxygenase_(EC_1.14.13.9)
fig|6666666.230262.peg.991	Name=Exodeoxyribonuclease_I_(EC_3.1.11.1)
fig|6666666.230262.peg.992	Name=FIG01111705:_hypothetical_protein
fig|6666666.230262.peg.993	Name=FIG01112855:_hypothetical_protein
fig|6666666.230262.peg.994	Name=5'-nucleotidase_(EC_3.1.3.5)
fig|6666666.230262.peg.995	Name=NAD_kinase_(EC_2.7.1.23)
fig|6666666.230262.peg.996	Name=NAD-specific_glutamate_dehydrogenase_(EC_1.4.1.2)%2C_large_form
fig|6666666.230262.peg.997	Name=Plectin_1
fig|6666666.230262.peg.998	Name=Transcriptional_regulator%2C_TetR_(AcrR)_family_[USSDB4A]
fig|6666666.230262.peg.999	Name=Membrane_fusion_protein_of_RND_family_multidrug_efflux_pump
fig|6666666.230262.peg.1000	Name=RND_efflux_system%2C_inner_membrane_transporter_CmeB
fig|6666666.230262.peg.1001	Name=hypothetical_protein
fig|6666666.230262.peg.1002	Name=hypothetical_protein
fig|6666666.230262.peg.1003	Name=hypothetical_protein
fig|6666666.230262.peg.1004	Name=Acyl-CoA_dehydrogenase%2C_short-chain_specific_(EC_1.3.99.2)
fig|6666666.230262.peg.1005	Name=Transcriptional_regulator%2C_ArsR_family_/_Methyltransferase_fusion
fig|6666666.230262.peg.1006	Name=5-methyltetrahydrofolate--homocysteine_methyltransferase_(EC_2.1.1.13)
fig|6666666.230262.peg.1007	Name=5-methyltetrahydrofolate--homocysteine_methyltransferase_(EC_2.1.1.13)
fig|6666666.230262.peg.1008	Name=Probable_3-phenylpropionic_acid_transporter
fig|6666666.230262.peg.1009	Name=Nucleoprotein/polynucleotide-associated_enzyme
fig|6666666.230262.peg.1010	Name=Protein_SlyX
fig|6666666.230262.peg.1011	Name=UDP-glucose_6-dehydrogenase_(EC_1.1.1.22)
fig|6666666.230262.peg.1012	Name=FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FkpA_precursor_(EC_5.2.1.8)
fig|6666666.230262.peg.1013	Name=Glutathione_peroxidase_family_protein
fig|6666666.230262.peg.1014	Name=hypothetical_protein
fig|6666666.230262.peg.1015	Name=Transcriptional_regulator%2C_GntR_family
fig|6666666.230262.peg.1016	Name=ABC-type_multidrug_transport_system%2C_ATPase_component
fig|6666666.230262.peg.1017	Name=ABC_transporter%2C_permease_protein%2C_putative
fig|6666666.230262.peg.1018	Name=FIG01111526:_hypothetical_protein
fig|6666666.230262.peg.1019	Name=FIG01111185:_hypothetical_protein
fig|6666666.230262.peg.1020	Name=FIG01112600:_hypothetical_protein
fig|6666666.230262.peg.1021	Name=Fumarate_hydratase_class_II_(EC_4.2.1.2)
fig|6666666.230262.peg.1022	Name=hypothetical_protein
fig|6666666.230262.peg.1023	Name=Adenylosuccinate_lyase_(EC_4.3.2.2)
fig|6666666.230262.peg.1024	Name=FIG002776:_hypothetical_protein
fig|6666666.230262.peg.1025	Name=FIG01111216:_hypothetical_protein
fig|6666666.230262.peg.1026	Name=2-oxoglutarate_dehydrogenase_E1_component_(EC_1.2.4.2)
fig|6666666.230262.peg.1027	Name=Dihydrolipoamide_succinyltransferase_component_(E2)_of_2-oxoglutarate_dehydrogenase_complex_(EC_2.3.1.61)
fig|6666666.230262.peg.1028	Name=Dihydrolipoamide_dehydrogenase_of_2-oxoglutarate_dehydrogenase_(EC_1.8.1.4)
fig|6666666.230262.peg.1029	Name=FIG01111926:_hypothetical_protein
fig|6666666.230262.peg.1030	Name=FIG01111514:_hypothetical_protein
fig|6666666.230262.peg.1031	Name=phosphodiesterase/alkaline_phosphatase_D
fig|6666666.230262.peg.1032	Name=TonB-dependent_receptor
fig|6666666.230262.peg.1033	Name=Replicative_DNA_helicase_(EC_3.6.1.-)
fig|6666666.230262.peg.1034	Name=FIG00553873:_hypothetical_protein
fig|6666666.230262.peg.1035	Name=Asparagine_synthetase_[glutamine-hydrolyzing]_(EC_6.3.5.4)
fig|6666666.230262.peg.1036	Name=Branched-chain_alpha-keto_acid_dehydrogenase%2C_E1_component%2C_alpha_subunit_(EC_1.2.4.4)_/_Branched-chain_alpha-keto_acid_dehydrogenase%2C_E1_component%2C_beta_subunit_(EC_1.2.4.4)
fig|6666666.230262.peg.1037	Name=Glutathione_S-transferase%2C_unnamed_subgroup_(EC_2.5.1.18)
fig|6666666.230262.peg.1038	Name=acetyltransferase%2C_GNAT_family
fig|6666666.230262.peg.1039	Name=probable_exported_protein_YPO1624
fig|6666666.230262.peg.1040	Name=FIG01112428:_hypothetical_protein
fig|6666666.230262.peg.1041	Name=Putative_deoxyribonuclease_YjjV
fig|6666666.230262.peg.1042	Name=Molybdopterin_biosynthesis_protein_MoeB
fig|6666666.230262.peg.1043	Name=FIG01110954:_hypothetical_protein
fig|6666666.230262.peg.1044	Name=Peptidoglycan-associated_outer_membrane_lipoprotein
fig|6666666.230262.peg.1045	Name=Cold_shock_protein_CspC
fig|6666666.230262.peg.1046	Name=hypothetical_protein
fig|6666666.230262.peg.1047	Name=probable_membrane_protein_NMA1128
fig|6666666.230262.peg.1048	Name=Phospholipase_A1_precursor_(EC_3.1.1.32%2C_EC_3.1.1.4)%3B_Outer_membrane_phospholipase_A
fig|6666666.230262.peg.1049	Name=Arsenate_reductase_(EC_1.20.4.1)
fig|6666666.230262.peg.1050	Name=Glutathione_S-transferase_(EC_2.5.1.18)
fig|6666666.230262.peg.1051	Name=FIG01112565:_hypothetical_protein
fig|6666666.230262.peg.1052	Name=Fumarate_hydratase_class_I%2C_aerobic_(EC_4.2.1.2)
fig|6666666.230262.peg.1053	Name=RNA_polymerase_ECF-type_sigma_factor
fig|6666666.230262.peg.1054	Name=4-carboxymuconolactone_decarboxylase_domain/alkylhydroperoxidase_AhpD_family_core_domain_protein
fig|6666666.230262.peg.1055	Name=ABC_transporter_ATP-binding_protein
fig|6666666.230262.peg.1056	Name=Ferredoxin--NADP(+)_reductase_(EC_1.18.1.2)
fig|6666666.230262.peg.1057	Name=Glutathione_peroxidase_family_protein
fig|6666666.230262.peg.1058	Name=Dipeptidyl_carboxypeptidase_Dcp_(EC_3.4.15.5)
fig|6666666.230262.peg.1059	Name=Cyclopropane-fatty-acyl-phospholipid_synthase_(EC_2.1.1.79)
fig|6666666.230262.peg.1060	Name=FIG01111955:_hypothetical_protein
fig|6666666.230262.peg.1061	Name=FIG01112714:_hypothetical_protein
fig|6666666.230262.peg.1062	Name=putative%3B_ORF_located_using_Glimmer/Genemark
fig|6666666.230262.peg.1063	Name=GlpG_protein_(membrane_protein_of_glp_regulon)
fig|6666666.230262.peg.1064	Name=Oligopeptide_transporter
fig|6666666.230262.peg.1065	Name=putative_secreted_protein
fig|6666666.230262.peg.1066	Name=Manganese_superoxide_dismutase_(EC_1.15.1.1)
fig|6666666.230262.peg.1067	Name=ribonuclease
fig|6666666.230262.peg.1068	Name=FIG01111464:_hypothetical_protein
fig|6666666.230262.peg.1069	Name=FIG01111038:_hypothetical_protein
fig|6666666.230262.peg.1070	Name=NfuA_Fe-S_protein_maturation
fig|6666666.230262.peg.1071	Name=Pterin-4-alpha-carbinolamine_dehydratase_(EC_4.2.1.96)
fig|6666666.230262.peg.1072	Name=Ferric_siderophore_transport_system%2C_periplasmic_binding_protein_TonB
fig|6666666.230262.peg.1073	Name=Zinc_transporter_ZupT
fig|6666666.230262.peg.1074	Name=Ribosomal_large_subunit_pseudouridine_synthase_C_(EC_4.2.1.70)
fig|6666666.230262.peg.1075	Name=hypothetical_protein
fig|6666666.230262.peg.1076	Name=Ribonuclease_E_(EC_3.1.26.12)
fig|6666666.230262.peg.1077	Name=putative_secreted_protein
fig|6666666.230262.peg.1078	Name=Hypothetical_protein_USSDB1E
fig|6666666.230262.peg.1079	Name=Sugar_ABC_transporter%2C_sugar_permease_protein_2_USSDB1D
fig|6666666.230262.peg.1080	Name=Sugar_ABC_transporter%2C_sugar_permease_protein_1_USSDB1C
fig|6666666.230262.peg.1081	Name=Sugar_ABC_transporter%2C_periplasmic_sugar-binding_protein_USSDB1B
fig|6666666.230262.peg.1082	Name=Hypothetical_protein_USSDB1A
fig|6666666.230262.peg.1083	Name=OmpA-related_protein
fig|6666666.230262.peg.1084	Name=Transcriptional_regulator%2C_LacI_family
fig|6666666.230262.peg.1085	Name=Cell_division_protein_BolA
fig|6666666.230262.peg.1086	Name=YciL_protein
fig|6666666.230262.peg.1087	Name=hypothetical_protein
fig|6666666.230262.peg.1088	Name=Segregation_and_condensation_protein_A
fig|6666666.230262.peg.1089	Name=Segregation_and_condensation_protein_B
fig|6666666.230262.peg.1090	Name=Threonine_synthase_(EC_4.2.3.1)
fig|6666666.230262.peg.1091	Name=Homoserine_kinase_(EC_2.7.1.39)
fig|6666666.230262.peg.1092	Name=Aspartokinase_(EC_2.7.2.4)_/_Homoserine_dehydrogenase_(EC_1.1.1.3)
fig|6666666.230262.peg.1093	Name=hypothetical_protein
fig|6666666.230262.peg.1094	Name=Integral_membrane_protein
fig|6666666.230262.peg.1095	Name=transcriptional_regulator%2C_AraC_family
fig|6666666.230262.peg.1096	Name=conserved_hypothetical_protein
fig|6666666.230262.peg.1097	Name=Choloylglycine_hydrolase_(EC_3.5.1.24)
fig|6666666.230262.peg.1098	Name=GENE_II_AND_X_PROTEINS
fig|6666666.230262.peg.1099	Name=Probable_transmembrane_protein
fig|6666666.230262.peg.1100	Name=Transcriptional_regulator%2C_ArsR_family
fig|6666666.230262.peg.1101	Name=BLUF_domain_containing_protein
